1744950226.194988,52.96.121.226,192.168.12.167,6
1744950226.212544,192.168.12.167,52.96.121.226,6
1744950226.212654,192.168.12.167,52.96.121.226,6
1744950226.262988,52.96.121.226,192.168.12.167,6
1744950226.951242,192.168.12.167,13.107.136.10,6
1744950226.959663,192.168.12.167,184.27.177.191,6
1744950226.959805,192.168.12.167,184.27.177.191,6
1744950227.018136,184.27.177.191,192.168.12.167,6
1744950227.018136,184.27.177.191,192.168.12.167,6
1744950227.018136,184.27.177.191,192.168.12.167,6
1744950227.018136,184.27.177.191,192.168.12.167,6
1744950227.018136,184.27.177.191,192.168.12.167,6
1744950227.01857,192.168.12.167,184.27.177.191,6
1744950227.020537,192.168.12.167,192.168.12.1,17
1744950227.022153,192.168.12.167,192.168.12.1,17
1744950227.022871,192.168.12.167,192.168.12.1,17
1744950227.023178,192.168.12.167,184.27.177.191,6
1744950227.023294,192.168.12.167,184.27.177.191,6
1744950227.023661,192.168.12.167,184.27.177.191,6
1744950227.02401,192.168.12.167,184.27.177.191,6
